ts,tag,value
1783987380,RCS_PRESS_BAR,155.20
1783987380,CHARGING_PUMP_A_RUN,1
1783987440,REACTOR_POWER_MW,2998.8
1783987440,GEN_POWER_MW,983.8
1783987440,CTRL_ROD_POS_PCT,94.9
1783987440,RCS_TEMP_C,292.27
1783987440,RCS_PRESS_BAR,154.87
1783987440,CHARGING_PUMP_A_RUN,1
1783987500,REACTOR_POWER_MW,2992.3
1783987500,GEN_POWER_MW,977.4
1783987500,CTRL_ROD_POS_PCT,94.8
1783987500,RCS_TEMP_C,291.69
1783987500,RCS_PRESS_BAR,155.26
1783987500,CHARGING_PUMP_A_RUN,1
1783987560,REACTOR_POWER_MW,2995.9
1783987560,GEN_POWER_MW,976.9
1783987560,CTRL_ROD_POS_PCT,95.0
1783987560,RCS_TEMP_C,292.17
1783987560,RCS_PRESS_BAR,155.05
1783987560,CHARGING_PUMP_A_RUN,1
1783987620,REACTOR_POWER_MW,3004.9
1783987620,GEN_POWER_MW,982.7
1783987620,CTRL_ROD_POS_PCT,95.0
1783987620,RCS_TEMP_C,291.69
1783987620,RCS_PRESS_BAR,154.86
1783987620,CHARGING_PUMP_A_RUN,1
1783987680,REACTOR_POWER_MW,2993.3
1783987680,GEN_POWER_MW,981.8
1783987680,CTRL_ROD_POS_PCT,95.2
1783987680,RCS_TEMP_C,291.76
1783987680,RCS_PRESS_BAR,155.19
1783987680,CHARGING_PUMP_A_RUN,1
1783987740,REACTOR_POWER_MW,2995.5
1783987740,GEN_POWER_MW,977.8
1783987740,CTRL_ROD_POS_PCT,94.8
1783987740,RCS_TEMP_C,291.60
1783987740,RCS_PRESS_BAR,154.79
1783987740,CHARGING_PUMP_A_RUN,1
1783987800,REACTOR_POWER_MW,2997.7
1783987800,GEN_POWER_MW,979.7
1783987800,CTRL_ROD_POS_PCT,95.2
1783987800,RCS_TEMP_C,291.93
1783987800,RCS_PRESS_BAR,154.93
1783987800,CHARGING_PUMP_A_RUN,1
1783987860,REACTOR_POWER_MW,2997.7
1783987860,GEN_POWER_MW,980.5
1783987860,CTRL_ROD_POS_PCT,95.0
1783987860,RCS_TEMP_C,291.61
1783987860,RCS_PRESS_BAR,155.15
1783987860,CHARGING_PUMP_A_RUN,1
1783987920,REACTOR_POWER_MW,2998.9
1783987920,GEN_POWER_MW,982.9
1783987920,CTRL_ROD_POS_PCT,94.9
1783987920,RCS_TEMP_C,292.14
1783987920,RCS_PRESS_BAR,155.02
1783987920,CHARGING_PUMP_A_RUN,1
1783987980,REACTOR_POWER_MW,3004.2
1783987980,GEN_POWER_MW,982.7
1783987980,CTRL_ROD_POS_PCT,95.0
1783987980,RCS_TEMP_C,291.95
1783987980,RCS_PRESS_BAR,154.84
1783987980,CHARGING_PUMP_A_RUN,1
1783988040,REACTOR_POWER_MW,2992.2
1783988040,GEN_POWER_MW,975.7
1783988040,CTRL_ROD_POS_PCT,95.0
1783988040,RCS_TEMP_C,291.80
1783988040,RCS_PRESS_BAR,155.29
1783988040,CHARGING_PUMP_A_RUN,1
1783988100,REACTOR_POWER_MW,3005.2
1783988100,GEN_POWER_MW,982.7
1783988100,CTRL_ROD_POS_PCT,94.8
1783988100,RCS_TEMP_C,292.38
1783988100,RCS_PRESS_BAR,155.05
1783988100,CHARGING_PUMP_A_RUN,1
1783988160,REACTOR_POWER_MW,3001.5
1783988160,GEN_POWER_MW,976.7
1783988160,CTRL_ROD_POS_PCT,94.8
1783988160,RCS_TEMP_C,292.27
1783988160,RCS_PRESS_BAR,155.10
1783988160,CHARGING_PUMP_A_RUN,1
1783988220,REACTOR_POWER_MW,2999.4
1783988220,GEN_POWER_MW,982.6
1783988220,CTRL_ROD_POS_PCT,95.1
1783988220,RCS_TEMP_C,292.29
1783988220,RCS_PRESS_BAR,154.90
1783988220,CHARGING_PUMP_A_RUN,1
1783988280,REACTOR_POWER_MW,2994.0
1783988280,GEN_POWER_MW,977.6
1783988280,CTRL_ROD_POS_PCT,94.8
1783988280,RCS_TEMP_C,292.30
1783988280,RCS_PRESS_BAR,154.91
1783988280,CHARGING_PUMP_A_RUN,1
1783988340,REACTOR_POWER_MW,3003.3
1783988340,GEN_POWER_MW,981.2
1783988340,CTRL_ROD_POS_PCT,94.8
1783988340,RCS_TEMP_C,291.69
1783988340,RCS_PRESS_BAR,155.02
1783988340,CHARGING_PUMP_A_RUN,1
1783988400,REACTOR_POWER_MW,2999.2
1783988400,GEN_POWER_MW,984.2
1783988400,CTRL_ROD_POS_PCT,94.8
1783988400,RCS_TEMP_C,292.36
1783988400,RCS_PRESS_BAR,155.26
1783988400,CHARGING_PUMP_A_RUN,1
1783988460,REACTOR_POWER_MW,3001.8
1783988460,GEN_POWER_MW,981.8
1783988460,CTRL_ROD_POS_PCT,95.0
1783988460,RCS_TEMP_C,291.98
1783988460,RCS_PRESS_BAR,155.01
1783988460,CHARGING_PUMP_A_RUN,1
1783988520,REACTOR_POWER_MW,2995.7
1783988520,GEN_POWER_MW,975.8
1783988520,CTRL_ROD_POS_PCT,94.8
1783988520,RCS_TEMP_C,291.85
1783988520,RCS_PRESS_BAR,155.29
1783988520,CHARGING_PUMP_A_RUN,1
1783988580,REACTOR_POWER_MW,3002.2
1783988580,GEN_POWER_MW,978.0
1783988580,CTRL_ROD_POS_PCT,95.1
1783988580,RCS_TEMP_C,291.84
1783988580,RCS_PRESS_BAR,155.12
1783988580,CHARGING_PUMP_A_RUN,1
1783988640,REACTOR_POWER_MW,3006.2
1783988640,GEN_POWER_MW,979.6
1783988640,CTRL_ROD_POS_PCT,94.8
1783988640,RCS_TEMP_C,292.06
1783988640,RCS_PRESS_BAR,155.16
1783988640,CHARGING_PUMP_A_RUN,1
1783988700,REACTOR_POWER_MW,3002.3
1783988700,GEN_POWER_MW,978.2
1783988700,CTRL_ROD_POS_PCT,95.1
1783988700,RCS_TEMP_C,292.36
1783988700,RCS_PRESS_BAR,154.80
1783988700,CHARGING_PUMP_A_RUN,1
1783988760,REACTOR_POWER_MW,2992.5
1783988760,GEN_POWER_MW,975.0
1783988760,CTRL_ROD_POS_PCT,94.9
1783988760,RCS_TEMP_C,291.93
1783988760,RCS_PRESS_BAR,154.84
1783988760,CHARGING_PUMP_A_RUN,1
1783988820,REACTOR_POWER_MW,3004.3
1783988820,GEN_POWER_MW,979.0
1783988820,CTRL_ROD_POS_PCT,94.8
1783988820,RCS_TEMP_C,291.78
1783988820,RCS_PRESS_BAR,154.91
1783988820,CHARGING_PUMP_A_RUN,1
1783988880,REACTOR_POWER_MW,2992.7
1783988880,GEN_POWER_MW,980.8
1783988880,CTRL_ROD_POS_PCT,94.8
1783988880,RCS_TEMP_C,292.27
1783988880,RCS_PRESS_BAR,154.74
1783988880,CHARGING_PUMP_A_RUN,1
1783988940,REACTOR_POWER_MW,3003.2
1783988940,GEN_POWER_MW,978.0
1783988940,CTRL_ROD_POS_PCT,95.1
1783988940,RCS_TEMP_C,291.87
1783988940,RCS_PRESS_BAR,154.93
1783988940,CHARGING_PUMP_A_RUN,1
1783989000,REACTOR_POWER_MW,3000.8
1783989000,GEN_POWER_MW,979.5
1783989000,CTRL_ROD_POS_PCT,95.1
1783989000,RCS_TEMP_C,292.18
1783989000,RCS_PRESS_BAR,155.10
1783989000,CHARGING_PUMP_A_RUN,1
1783989060,REACTOR_POWER_MW,2998.6
1783989060,GEN_POWER_MW,977.7
1783989060,CTRL_ROD_POS_PCT,95.0
1783989060,RCS_TEMP_C,292.23
1783989060,RCS_PRESS_BAR,155.25
1783989060,CHARGING_PUMP_A_RUN,1
1783989120,REACTOR_POWER_MW,2998.3
1783989120,GEN_POWER_MW,975.0
1783989120,CTRL_ROD_POS_PCT,94.8
1783989120,RCS_TEMP_C,292.31
1783989120,RCS_PRESS_BAR,155.03
1783989120,CHARGING_PUMP_A_RUN,1
1783989180,REACTOR_POWER_MW,3001.2
1783989180,GEN_POWER_MW,984.4
1783989180,CTRL_ROD_POS_PCT,95.1
1783989180,RCS_TEMP_C,292.27
1783989180,RCS_PRESS_BAR,155.22
1783989180,CHARGING_PUMP_A_RUN,1
1783989240,REACTOR_POWER_MW,2992.8
1783989240,GEN_POWER_MW,976.6
1783989240,CTRL_ROD_POS_PCT,95.0
1783989240,RCS_TEMP_C,291.60
1783989240,RCS_PRESS_BAR,154.98
1783989240,CHARGING_PUMP_A_RUN,1
1783989300,REACTOR_POWER_MW,3002.9
1783989300,GEN_POWER_MW,982.1
1783989300,CTRL_ROD_POS_PCT,95.1
1783989300,RCS_TEMP_C,292.15
1783989300,RCS_PRESS_BAR,155.10
1783989300,CHARGING_PUMP_A_RUN,1
1783989360,REACTOR_POWER_MW,2992.4
1783989360,GEN_POWER_MW,980.7
1783989360,CTRL_ROD_POS_PCT,95.0
1783989360,RCS_TEMP_C,291.82
1783989360,RCS_PRESS_BAR,154.80
1783989360,CHARGING_PUMP_A_RUN,1
1783989420,REACTOR_POWER_MW,2994.7
1783989420,GEN_POWER_MW,973.4
1783989420,CTRL_ROD_POS_PCT,94.9
1783989420,RCS_TEMP_C,292.14
1783989420,RCS_PRESS_BAR,154.75
1783989420,CHARGING_PUMP_A_RUN,1
1783989480,REACTOR_POWER_MW,2994.6
1783989480,GEN_POWER_MW,980.1
1783989480,CTRL_ROD_POS_PCT,94.9
1783989480,RCS_TEMP_C,291.72
1783989480,RCS_PRESS_BAR,154.70
1783989480,CHARGING_PUMP_A_RUN,1
1783989540,REACTOR_POWER_MW,2994.3
1783989540,GEN_POWER_MW,981.6
1783989540,CTRL_ROD_POS_PCT,95.1
1783989540,RCS_TEMP_C,291.86
1783989540,RCS_PRESS_BAR,154.93
1783989540,CHARGING_PUMP_A_RUN,1
1783989600,REACTOR_POWER_MW,3003.0
1783989600,GEN_POWER_MW,979.8
1783989600,CTRL_ROD_POS_PCT,95.1
1783989600,RCS_TEMP_C,292.27
1783989600,RCS_PRESS_BAR,155.10
1783989600,CHARGING_PUMP_A_RUN,1
1783989660,REACTOR_POWER_MW,2998.5
1783989660,GEN_POWER_MW,974.6
1783989660,CTRL_ROD_POS_PCT,94.8
1783989660,RCS_TEMP_C,291.62
1783989660,RCS_PRESS_BAR,154.91
1783989660,CHARGING_PUMP_A_RUN,1
1783989720,REACTOR_POWER_MW,3000.3
1783989720,GEN_POWER_MW,976.9
1783989720,CTRL_ROD_POS_PCT,95.1
1783989720,RCS_TEMP_C,292.15
1783989720,RCS_PRESS_BAR,154.93
1783989720,CHARGING_PUMP_A_RUN,1
1783989780,REACTOR_POWER_MW,2993.5
1783989780,GEN_POWER_MW,975.7
1783989780,CTRL_ROD_POS_PCT,95.0
1783989780,RCS_TEMP_C,292.15
1783989780,RCS_PRESS_BAR,154.80
1783989780,CHARGING_PUMP_A_RUN,1
1783989840,REACTOR_POWER_MW,3002.3
1783989840,GEN_POWER_MW,984.3
1783989840,CTRL_ROD_POS_PCT,95.0
1783989840,RCS_TEMP_C,292.31
1783989840,RCS_PRESS_BAR,154.77
1783989840,CHARGING_PUMP_A_RUN,1
1783989900,REACTOR_POWER_MW,3003.2
1783989900,GEN_POWER_MW,977.1
1783989900,CTRL_ROD_POS_PCT,95.2
1783989900,RCS_TEMP_C,292.03
1783989900,RCS_PRESS_BAR,155.15
1783989900,CHARGING_PUMP_A_RUN,1
1783989960,REACTOR_POWER_MW,2996.9
1783989960,GEN_POWER_MW,979.8
1783989960,CTRL_ROD_POS_PCT,95.1
1783989960,RCS_TEMP_C,292.36
1783989960,RCS_PRESS_BAR,154.74
1783989960,CHARGING_PUMP_A_RUN,1
1783990020,REACTOR_POWER_MW,2993.1
1783990020,GEN_POWER_MW,978.1
1783990020,CTRL_ROD_POS_PCT,94.9
1783990020,RCS_TEMP_C,291.85
1783990020,RCS_PRESS_BAR,154.82
1783990020,CHARGING_PUMP_A_RUN,1
1783990080,REACTOR_POWER_MW,3002.0
1783990080,GEN_POWER_MW,977.4
1783990080,CTRL_ROD_POS_PCT,94.9
1783990080,RCS_TEMP_C,292.07
1783990080,RCS_PRESS_BAR,154.95
1783990080,CHARGING_PUMP_A_RUN,1
1783990140,REACTOR_POWER_MW,2995.8
1783990140,GEN_POWER_MW,978.3
1783990140,CTRL_ROD_POS_PCT,95.0
1783990140,RCS_TEMP_C,291.67
1783990140,RCS_PRESS_BAR,155.09
1783990140,CHARGING_PUMP_A_RUN,1
1783990200,REACTOR_POWER_MW,3003.7
1783990200,GEN_POWER_MW,984.4
1783990200,CTRL_ROD_POS_PCT,94.8
1783990200,RCS_TEMP_C,292.30
1783990200,RCS_PRESS_BAR,155.22
1783990200,CHARGING_PUMP_A_RUN,1
1783990260,REACTOR_POWER_MW,3003.7
1783990260,GEN_POWER_MW,982.8
1783990260,CTRL_ROD_POS_PCT,95.0
1783990260,RCS_TEMP_C,291.69
1783990260,RCS_PRESS_BAR,155.24
1783990260,CHARGING_PUMP_A_RUN,1
1783990320,REACTOR_POWER_MW,3002.0
1783990320,GEN_POWER_MW,985.4
1783990320,CTRL_ROD_POS_PCT,94.9
1783990320,RCS_TEMP_C,292.14
1783990320,RCS_PRESS_BAR,154.96
1783990320,CHARGING_PUMP_A_RUN,1
1783990380,REACTOR_POWER_MW,3007.1
1783990380,GEN_POWER_MW,985.6
1783990380,CTRL_ROD_POS_PCT,95.0
1783990380,RCS_TEMP_C,291.68
1783990380,RCS_PRESS_BAR,155.08
1783990380,CHARGING_PUMP_A_RUN,1
1783990440,REACTOR_POWER_MW,3007.5
1783990440,GEN_POWER_MW,977.8
1783990440,CTRL_ROD_POS_PCT,94.9
1783990440,RCS_TEMP_C,292.14
1783990440,RCS_PRESS_BAR,154.75
1783990440,CHARGING_PUMP_A_RUN,1
1783990500,REACTOR_POWER_MW,3006.8
1783990500,GEN_POWER_MW,979.9
1783990500,CTRL_ROD_POS_PCT,95.1
1783990500,RCS_TEMP_C,292.05
1783990500,RCS_PRESS_BAR,155.10
1783990500,CHARGING_PUMP_A_RUN,1
1783990560,REACTOR_POWER_MW,3001.0
1783990560,GEN_POWER_MW,977.3
1783990560,CTRL_ROD_POS_PCT,94.9
1783990560,RCS_TEMP_C,292.11
1783990560,RCS_PRESS_BAR,155.05
1783990560,CHARGING_PUMP_A_RUN,1
1783990620,REACTOR_POWER_MW,3001.9
1783990620,GEN_POWER_MW,983.1
1783990620,CTRL_ROD_POS_PCT,95.1
1783990620,RCS_TEMP_C,292.34
1783990620,RCS_PRESS_BAR,155.27
1783990620,CHARGING_PUMP_A_RUN,1
1783990680,REACTOR_POWER_MW,2994.2
1783990680,GEN_POWER_MW,982.4
1783990680,CTRL_ROD_POS_PCT,94.9
1783990680,RCS_TEMP_C,292.36
1783990680,RCS_PRESS_BAR,154.78
1783990680,CHARGING_PUMP_A_RUN,1
1783990740,REACTOR_POWER_MW,3005.7
1783990740,GEN_POWER_MW,980.8
1783990740,CTRL_ROD_POS_PCT,94.9
1783990740,RCS_TEMP_C,291.64
1783990740,RCS_PRESS_BAR,154.88
1783990740,CHARGING_PUMP_A_RUN,1
1783990800,REACTOR_POWER_MW,3000.6
1783990800,GEN_POWER_MW,984.5
1783990800,CTRL_ROD_POS_PCT,94.9
1783990800,RCS_TEMP_C,291.88
1783990800,RCS_PRESS_BAR,154.89
1783990800,CHARGING_PUMP_A_RUN,1
1783990860,REACTOR_POWER_MW,2998.6
1783990860,GEN_POWER_MW,977.6
1783990860,CTRL_ROD_POS_PCT,94.8
1783990860,RCS_TEMP_C,291.92
1783990860,RCS_PRESS_BAR,154.86
1783990860,CHARGING_PUMP_A_RUN,1
1783990920,REACTOR_POWER_MW,3003.7
1783990920,GEN_POWER_MW,983.9
1783990920,CTRL_ROD_POS_PCT,95.2
1783990920,RCS_TEMP_C,291.77
1783990920,RCS_PRESS_BAR,154.88
1783990920,CHARGING_PUMP_A_RUN,1
1783990980,REACTOR_POWER_MW,2996.5
1783990980,GEN_POWER_MW,976.3
1783990980,CTRL_ROD_POS_PCT,95.1
1783990980,RCS_TEMP_C,291.73
1783990980,RCS_PRESS_BAR,154.85
1783990980,CHARGING_PUMP_A_RUN,1
1783991040,REACTOR_POWER_MW,3007.5
1783991040,GEN_POWER_MW,980.0
1783991040,CTRL_ROD_POS_PCT,95.0
1783991040,RCS_TEMP_C,292.32
1783991040,RCS_PRESS_BAR,155.08
1783991040,CHARGING_PUMP_A_RUN,1
1783991100,REACTOR_POWER_MW,2997.8
1783991100,GEN_POWER_MW,980.2
1783991100,CTRL_ROD_POS_PCT,95.2
1783991100,RCS_TEMP_C,291.79
1783991100,RCS_PRESS_BAR,155.10
1783991100,CHARGING_PUMP_A_RUN,1
1783991160,REACTOR_POWER_MW,2994.1
1783991160,GEN_POWER_MW,980.7
1783991160,CTRL_ROD_POS_PCT,95.0
1783991160,RCS_TEMP_C,291.59
1783991160,RCS_PRESS_BAR,155.19
1783991160,CHARGING_PUMP_A_RUN,1
1783991220,REACTOR_POWER_MW,2993.8
1783991220,GEN_POWER_MW,974.8
1783991220,CTRL_ROD_POS_PCT,95.1
1783991220,RCS_TEMP_C,292.28
1783991220,RCS_PRESS_BAR,154.76
1783991220,CHARGING_PUMP_A_RUN,1
1783991280,REACTOR_POWER_MW,3007.7
1783991280,GEN_POWER_MW,980.9
1783991280,CTRL_ROD_POS_PCT,95.1
1783991280,RCS_TEMP_C,292.11
1783991280,RCS_PRESS_BAR,154.91
1783991280,CHARGING_PUMP_A_RUN,1
1783991340,REACTOR_POWER_MW,2997.8
1783991340,GEN_POWER_MW,978.8
1783991340,CTRL_ROD_POS_PCT,94.9
1783991340,RCS_TEMP_C,292.33
1783991340,RCS_PRESS_BAR,155.19
1783991340,CHARGING_PUMP_A_RUN,1
1783991400,REACTOR_POWER_MW,2992.7
1783991400,GEN_POWER_MW,978.4
1783991400,CTRL_ROD_POS_PCT,94.9
1783991400,RCS_TEMP_C,291.73
1783991400,RCS_PRESS_BAR,155.15
1783991400,CHARGING_PUMP_A_RUN,1
1783991460,REACTOR_POWER_MW,2997.3
1783991460,GEN_POWER_MW,980.4
1783991460,CTRL_ROD_POS_PCT,95.1
1783991460,RCS_TEMP_C,292.28
1783991460,RCS_PRESS_BAR,155.08
1783991460,CHARGING_PUMP_A_RUN,1
1783991520,REACTOR_POWER_MW,3006.6
1783991520,GEN_POWER_MW,986.9
1783991520,CTRL_ROD_POS_PCT,95.0
1783991520,RCS_TEMP_C,292.34
1783991520,RCS_PRESS_BAR,154.80
1783991520,CHARGING_PUMP_A_RUN,1
1783991580,REACTOR_POWER_MW,2992.8
1783991580,GEN_POWER_MW,975.8
1783991580,CTRL_ROD_POS_PCT,94.9
1783991580,RCS_TEMP_C,291.88
1783991580,RCS_PRESS_BAR,154.75
1783991580,CHARGING_PUMP_A_RUN,1
1783991640,REACTOR_POWER_MW,3004.4
1783991640,GEN_POWER_MW,981.1
1783991640,CTRL_ROD_POS_PCT,95.1
1783991640,RCS_TEMP_C,292.31
1783991640,RCS_PRESS_BAR,155.17
1783991640,CHARGING_PUMP_A_RUN,1
1783991700,REACTOR_POWER_MW,3006.1
1783991700,GEN_POWER_MW,977.1
1783991700,CTRL_ROD_POS_PCT,94.9
1783991700,RCS_TEMP_C,292.38
1783991700,RCS_PRESS_BAR,155.17
1783991700,CHARGING_PUMP_A_RUN,1
1783991760,REACTOR_POWER_MW,2996.6
1783991760,GEN_POWER_MW,982.7
1783991760,CTRL_ROD_POS_PCT,95.0
1783991760,RCS_TEMP_C,291.95
1783991760,RCS_PRESS_BAR,154.95
1783991760,CHARGING_PUMP_A_RUN,1
1783991820,REACTOR_POWER_MW,2992.2
1783991820,GEN_POWER_MW,978.9
1783991820,CTRL_ROD_POS_PCT,95.1
1783991820,RCS_TEMP_C,291.89
1783991820,RCS_PRESS_BAR,155.11
1783991820,CHARGING_PUMP_A_RUN,1
1783991880,REACTOR_POWER_MW,3004.2
1783991880,GEN_POWER_MW,985.0
1783991880,CTRL_ROD_POS_PCT,94.8
1783991880,RCS_TEMP_C,291.95
1783991880,RCS_PRESS_BAR,155.04
1783991880,CHARGING_PUMP_A_RUN,1
1783991940,REACTOR_POWER_MW,3006.0
1783991940,GEN_POWER_MW,979.9
1783991940,CTRL_ROD_POS_PCT,94.8
1783991940,RCS_TEMP_C,292.36
1783991940,RCS_PRESS_BAR,155.28
1783991940,CHARGING_PUMP_A_RUN,1
1783992000,REACTOR_POWER_MW,3005.3
1783992000,GEN_POWER_MW,983.5
1783992000,CTRL_ROD_POS_PCT,94.8
1783992000,RCS_TEMP_C,291.91
1783992000,RCS_PRESS_BAR,154.89
1783992000,CHARGING_PUMP_A_RUN,1
1783992060,REACTOR_POWER_MW,3006.6
1783992060,GEN_POWER_MW,986.4
1783992060,CTRL_ROD_POS_PCT,95.2
1783992060,RCS_TEMP_C,292.17
1783992060,RCS_PRESS_BAR,154.90
1783992060,CHARGING_PUMP_A_RUN,1
1783992120,REACTOR_POWER_MW,2995.9
1783992120,GEN_POWER_MW,977.1
1783992120,CTRL_ROD_POS_PCT,94.8
1783992120,RCS_TEMP_C,292.06
1783992120,RCS_PRESS_BAR,155.14
1783992120,CHARGING_PUMP_A_RUN,1
1783992180,REACTOR_POWER_MW,3007.9
1783992180,GEN_POWER_MW,981.5
1783992180,CTRL_ROD_POS_PCT,94.8
1783992180,RCS_TEMP_C,292.35
1783992180,RCS_PRESS_BAR,155.18
1783992180,CHARGING_PUMP_A_RUN,1
1783992240,REACTOR_POWER_MW,2997.1
1783992240,GEN_POWER_MW,984.0
1783992240,CTRL_ROD_POS_PCT,95.1
1783992240,RCS_TEMP_C,292.04
1783992240,RCS_PRESS_BAR,154.95
1783992240,CHARGING_PUMP_A_RUN,1
1783992300,REACTOR_POWER_MW,3000.1
1783992300,GEN_POWER_MW,976.8
1783992300,CTRL_ROD_POS_PCT,94.9
1783992300,RCS_TEMP_C,292.37
1783992300,RCS_PRESS_BAR,154.87
1783992300,CHARGING_PUMP_A_RUN,1
1783992360,REACTOR_POWER_MW,2998.9
1783992360,GEN_POWER_MW,977.5
1783992360,CTRL_ROD_POS_PCT,95.2
1783992360,RCS_TEMP_C,292.35
1783992360,RCS_PRESS_BAR,155.12
1783992360,CHARGING_PUMP_A_RUN,1
1783992420,REACTOR_POWER_MW,3001.9
1783992420,GEN_POWER_MW,979.9
1783992420,CTRL_ROD_POS_PCT,95.0
1783992420,RCS_TEMP_C,292.29
1783992420,RCS_PRESS_BAR,154.91
1783992420,CHARGING_PUMP_A_RUN,1
1783992480,REACTOR_POWER_MW,2995.3
1783992480,GEN_POWER_MW,978.0
1783992480,CTRL_ROD_POS_PCT,94.8
1783992480,RCS_TEMP_C,291.95
1783992480,RCS_PRESS_BAR,154.96
1783992480,CHARGING_PUMP_A_RUN,1
1783992540,REACTOR_POWER_MW,2994.4
1783992540,GEN_POWER_MW,975.0
1783992540,CTRL_ROD_POS_PCT,94.9
1783992540,RCS_TEMP_C,291.82
1783992540,RCS_PRESS_BAR,154.84
1783992540,CHARGING_PUMP_A_RUN,1
1783992600,REACTOR_POWER_MW,2993.5
1783992600,GEN_POWER_MW,974.8
1783992600,CTRL_ROD_POS_PCT,95.1
1783992600,RCS_TEMP_C,291.58
1783992600,RCS_PRESS_BAR,154.84
1783992600,CHARGING_PUMP_A_RUN,1
1783992660,REACTOR_POWER_MW,3007.0
1783992660,GEN_POWER_MW,981.5
1783992660,CTRL_ROD_POS_PCT,95.1
1783992660,RCS_TEMP_C,291.99
1783992660,RCS_PRESS_BAR,155.15
1783992660,CHARGING_PUMP_A_RUN,1
1783992720,REACTOR_POWER_MW,3004.1
1783992720,GEN_POWER_MW,978.9
1783992720,CTRL_ROD_POS_PCT,95.2
1783992720,RCS_TEMP_C,292.28
1783992720,RCS_PRESS_BAR,155.15
1783992720,CHARGING_PUMP_A_RUN,1
1783992780,REACTOR_POWER_MW,3000.7
1783992780,GEN_POWER_MW,981.7
1783992780,CTRL_ROD_POS_PCT,95.0
1783992780,RCS_TEMP_C,292.31
1783992780,RCS_PRESS_BAR,155.15
1783992780,CHARGING_PUMP_A_RUN,1
1783992840,REACTOR_POWER_MW,3005.5
1783992840,GEN_POWER_MW,985.0
1783992840,CTRL_ROD_POS_PCT,94.9
1783992840,RCS_TEMP_C,291.77
1783992840,RCS_PRESS_BAR,154.86
1783992840,CHARGING_PUMP_A_RUN,1
1783992900,REACTOR_POWER_MW,2994.6
1783992900,GEN_POWER_MW,982.4
1783992900,CTRL_ROD_POS_PCT,95.2
1783992900,RCS_TEMP_C,291.72
1783992900,RCS_PRESS_BAR,155.03
1783992900,CHARGING_PUMP_A_RUN,1
1783992960,REACTOR_POWER_MW,2992.4
1783992960,GEN_POWER_MW,977.1
1783992960,CTRL_ROD_POS_PCT,94.9
1783992960,RCS_TEMP_C,292.11
1783992960,RCS_PRESS_BAR,155.21
1783992960,CHARGING_PUMP_A_RUN,1
1783993020,REACTOR_POWER_MW,3004.3
1783993020,GEN_POWER_MW,983.5
1783993020,CTRL_ROD_POS_PCT,94.8
1783993020,RCS_TEMP_C,291.75
1783993020,RCS_PRESS_BAR,154.75
1783993020,CHARGING_PUMP_A_RUN,1
1783993080,REACTOR_POWER_MW,3006.5
1783993080,GEN_POWER_MW,984.7
1783993080,CTRL_ROD_POS_PCT,95.0
1783993080,RCS_TEMP_C,292.37
1783993080,RCS_PRESS_BAR,155.22
1783993080,CHARGING_PUMP_A_RUN,1
1783993140,REACTOR_POWER_MW,3001.1
1783993140,GEN_POWER_MW,978.8
